time;0 M KCl;0.1 M KCl;0.2 M KCl;0.3 M KCl;0.4 M KCl;0.5 M KCl;0.75 M KCl;1 M KCl
-3550,39;-0,997374411;-0,991492106;-0,992309074;-0,993464387;-0,993827493;-0,98971147;-0,99641714;-0,995269265
-3500,39;-0,993773215;-0,990278285;-0,993981562;-0,993655868;-0,995176342;-0,986401279;-0,992587994;-0,991141406
-3450,39;-0,998194807;-0,993486814;-0,994113824;-0,98927878;-0,993024584;-0,986984;-0,991938543;-0,991981011
-3400,39;-1;-0,991282053;-0,996452064;-0,989895043;-0,990723802;-0,990367551;-0,994993659;-0,995253155
-3350,39;-0,994589246;-0,990494913;-0,990905966;-0,992051659;-0,992942986;-0,990334253;-0,993255957;-0,992929262
-3300,39;-0,997667713;-0,992495393;-0,993488976;-0,992848211;-0,993015284;-0,993343718;-0,993467443;-0,994402898
-3250,39;-0,993711407;-0,99168356;-0,99297458;-0,991470708;-0,996242423;-0,99314705;-0,99138146;-0,992027479
-3200,39;-0,994879791;-0,993077129;-0,994722787;-0,993263015;-0,995469849;-0,986141916;-0,991822295;-0,993530939
-3150,39;-0,996371692;-0,990671214;-0,993979669;-0,99027948;-0,991637871;-0,981470266;-0,997717525;-0,995289237
-3100,39;-0,992870332;-0,992908525;-0,99739913;-0,995031289;-0,991075657;-0,988161147;-0,990821601;-0,992043988
-3050,39;-0,998505342;-0,989200518;-0,991875089;-0,990463327;-0,992835481;-0,993101005;-0,992656762;-0,991445107
-3000,39;-0,99690476;-0,988448012;-0,997210984;-0,997215495;-0,997237424;-0,995809615;-0,994951269;-0,990871923
-2950,39;-0,99299705;-0,994712341;-0,993467084;-0,991456479;-0,991387321;-0,991538585;-0,99267009;-0,989976531
-2900,39;-0,994085474;-0,995745131;-0,994058928;-0,997210029;-0,994061657;-0,987627724;-0,992757091;-0,99558455
-2850,39;-0,995329107;-0,993282693;-0,994325261;-0,992050184;-0,99296834;-0,993133913;-0,995049469;-0,991750806
-2800,39;-0,997194845;-0,992693341;-0,994551514;-0,994018789;-0,994321507;-0,986673649;-0,990049052;-0,999397124
-2750,39;-0,99730479;-0,995523773;-0,995142699;-0,995611286;-0,995916365;-0,992134963;-0,993207736;-0,997636696
-2700,39;-0,996186726;-0,992715869;-0,998443478;-0,998031481;-0,99682224;-0,986957855;-0,991271783;-0,993190623
-2650,39;-0,995251445;-0,994509022;-0,990850246;-0,996629599;-0,99908261;-0,996426544;-0,994087277;-0,989082603
-2600,39;-0,996647302;-0,990631528;-0,993050464;-0,994218426;-0,997076001;-0,984836258;-1;-0,991725908
-2550,39;-0,999799295;-0,992504533;-0,997228103;-0,995242725;-0,993154896;-0,989098703;-0,991884399;-0,996183298
-2500,39;-0,994442537;-0,992905399;-0,991094358;-0,995613628;-0,993608941;-0,987557225;-0,992448793;-0,995234781
-2450,39;-0,995929153;-0,994310834;-0,993279514;-0,996185469;-0,996072363;-0,99058308;-0,996158637;-0,990836906
-2400,39;-0,993154098;-0,993914378;-0,994456453;-0,999011967;-0,997713612;-0,993469628;-0,991670876;-0,994714189
-2350,39;-0,99691418;-0,993114891;-0,99443777;-0,99722955;-0,992812785;-0,991327869;-0,99498644;-0,990586329
-2300,39;-0,997426224;-0,994717873;-0,993278691;-0,995422147;-0,997488416;-0,985464374;-0,993074829;-0,986157166
-2250,39;-0,995611496;-0,996760604;-0,993962715;-0,991646399;-0,998907126;-0,991332422;-0,992469248;-0,987903348
-2200,39;-0,988991688;-0,994519925;-0,994473243;-0,997801912;-0,995338097;-0,992139516;-0,992801702;-0,992894911
-2150,39;-0,990608699;-0,996340818;-0,995007721;-0,99541269;-0,993938984;-0,985174054;-0,994608912;-0,9981963
-2100,39;-0,996184773;-0,994310834;-0,995957091;-0,998597943;-0,992124466;-0,987279782;-0,989664397;-0,991417547
-2050,39;-0,996216022;-0,996129;-0,993772429;-0,997013082;-0,99286615;-0,98667638;-0,99703679;-0,989924338
-2000,39;-0,992150001;-0,990419229;-0,996771895;-0,995816562;-0,99191001;-0,98814762;-0,993719005;-0,994993791
-1950,39;-0,994105119;-0,993490663;-0,99512237;-0,995217651;-0,996460532;-0,988778987;-0,995339534;-0,989636747
-1900,39;-0,992776355;-0,996993427;-0,994854308;-0,992029621;-0,999409997;-0,982370882;-0,993019296;-0,994692619
-1850,39;-0,993970703;-0,992277643;-0,998217637;-0,995033545;-0,991658574;-0,985101474;-0,992826321;-0,987017941
-1800,39;-0,997837169;-0,997566024;-0,98874048;-0,997607481;-0,989517224;-0,986635798;-0,99341117;-0,990568488
-1750,39;-0,995644697;-0,993293517;-0,996603667;-0,996412783;-0,990178196;-0,986939385;-0,994346984;-0,985820711
-1700,39;-0,993058169;-0,998174217;-0,996527783;-0,998029746;-0,995267793;-0,98543927;-0,992973019;-0,993799091
-1650,39;-0,987222914;-0,996589435;-0,993051287;-0,998608962;-0,998562579;-0,985426133;-0,99451969;-0,984344812
-1600,39;-0,989886071;-0,9949159;-0,998139037;-0,995639049;-0,992931583;-0,983230525;-0,992335692;-0,983489762
-1550,39;-0,993441771;-0,996972983;-0,993639509;-0,994622211;-0,992855078;-0,990309539;-0,991136192;-0,987014346
-1500,39;-0,988792937;-0,994924639;-0,992975814;-0,995012635;-0,992148602;-0,990026894;-0,990086351;-0,983494555
-1450,39;-0,994979741;-0,994904115;-0,996468936;-0,996243079;-0,990974573;-0,988191974;-0,993656438;-0,983767367
